workout_id;exercise_number;exercise_name;equipment;reps_goal;set_number;weigth;quantity;measure;comments
202407261935;4;Leg Curls on Leg Extension Machine;Machine;10 reps;2;25;10;reps;[]
202407261935;4;Leg Curls on Leg Extension Machine;Machine;10 reps;3;25;10;reps;[]
202407261935;5;Leg Extensions;Machine;8 reps;1;70;10;reps;[]
202407261935;5;Leg Extensions;Machine;8 reps;2;70;10;reps;[]
202407261935;5;Leg Extensions;Machine;8 reps;3;75;10;reps;[]
202407261935;6;L sit hold iso;Bodyweight;;1;;8;secs;[]
202407261935;6;L sit hold iso;Bodyweight;;2;;5;secs;[]
202407261935;6;L sit hold iso;Bodyweight;;3;;4;secs;[]
202407261935;7;Seated Leg Curls;Machine;8 reps;1;70;8;reps;[]
202407261935;7;Seated Leg Curls;Machine;8 reps;2;70;8;reps;[]
202407261935;7;Seated Leg Curls;Machine;8 reps;3;70;6;reps;[]
202407251607;1;Flexão Arqueiro - Chão;Bodyweight;8 reps;1;;5;reps;"""Perna aberta, linha do ombro +-"""
202407251607;1;Flexão Arqueiro - Chão;Bodyweight;8 reps;2;;4;reps;"""Perna aberta, linha do ombro +-"""
202407251607;1;Flexão Arqueiro - Chão;Bodyweight;8 reps;3;;2;reps;"""Perna aberta, linha do ombro +-"""
202407251607;2;Incline Bench Press;Barbell;8 reps;1;36;10;reps;[]
202407251607;2;Incline Bench Press;Barbell;8 reps;2;36;10;reps;[]
202407251607;2;Incline Bench Press;Barbell;8 reps;3;36;10;reps;[]
202407251607;3;Triceps Pushdowns;Cable;8 reps;1;47;8;reps;[]
202407251607;3;Triceps Pushdowns;Cable;8 reps;2;47;8;reps;[]
202407251607;3;Triceps Pushdowns;Cable;8 reps;3;47;8;reps;[]
202407251607;4;Seated Lateral Raises;Dumbbells;8 reps;1;9;8;reps;[]
202407251607;4;Seated Lateral Raises;Dumbbells;8 reps;2;9;10;reps;[]
202407251607;4;Seated Lateral Raises;Dumbbells;8 reps;3;9;9;reps;[]
202407251607;5;Shoulder Press;Machine;8 reps;1;25;10;reps;[]
202407251607;5;Shoulder Press;Machine;8 reps;2;25;10;reps;[]
