
"PerGlu · Day 3 · Week 5 · Verão · Deload";"2024-10-30 16:32 h";"1:16 hr"
"3. Goblet Squats · Dumbbells · 10 reps"
#;KG;REPS
1;0;30
2;0;18
3;0;15
"4. L Raises · Bodyweight · 10 reps"
#;REPS
1;10
2;8
3;6

"PerGlu · Day 3 · Week 2 · Transição · Deload";"2024-08-29 9:24 h";"49 min"
"1. Leg Press · Machine · 12 reps"
#;KG;REPS
1;210;12
2;210;12
3;210;12
"2. Calf Raises on Leg Press · Machine · 12 reps"
#;KG;REPS
1;166;12
2;166;12
3;166;12
"3. Leg Curls on Leg Extension Machine · Machine · 12 reps"
#;KG;REPS
1;25;12
2;25;10
3;25;10
"4. Leg Extensions · Machine · 12 reps"
#;KG;REPS
1;72;12
2;72;12
3;72;15

"PerGlu · Day 3 · Week 1 · Transição · Deload";"2024-08-23 19:13 h";"1:03 hr"
"1. Leg Press · Machine · 12 reps"
#;KG;REPS
1;206;12
2;206;12
3;210;15
"2. Seated Leg Curls · Machine · 12 reps";"Troquei de ordem com o outro desse"
#;KG;REPS
1;65;12
2;65;12
3;65;12
"3. Hip Abduction · Cable · 12 reps"
#;KG;REPS
1;18;12
2;18;12
3;18;9
"4. Leg Extensions · Machine · 12 reps"
#;KG;REPS
1;70;12
2;70;12
3;70;15
"5. Leg Curls on Leg Extension Machine · Machine · 12 reps";"Fiz por último, troquei de ordem com o outro";"Começar pela direita na próxima vez"
#;KG;REPS
1;25;12
2;25;10
3;25;8

"PeiTriOm · Day 2 · Week 1 · Transição · Deload";"2024-08-22 16:48 h";"1:09 hr"
"1. Chest Press · Machine · 12 reps"
#;KG;REPS
1;26;12
2;26;12
3;26;15
"2. Incline Bench Press · Dumbbells · 12 reps"
#;KG;REPS
1;14;12
2;14;12
3;14;9
"3. Dips · Bodyweight · 12 reps";"Altura 15, uns 3 dedos acima do cotovelo. Descendo até encostar a ponta do pé no chão"
#;KG;REPS
1;+0;10
2;+0;8
3;+0;5
