
"3. Hip Adduction · Machine";"3 sets";"12 reps"
"4. Hip Abduction · Machine";"3 sets";"12 reps"
"5. Crunch Machine · Machine";"3 sets";"12 reps"
"6. Plank · Bodyweight";"3 sets";"1:15 min"
"7. Hanging Leg Raises · Bodyweight";"3 sets";"10 reps"
"8. Back Extensions on Roman Chair · Bodyweight";"3 sets";"10 reps"

"Padrão4 · 5 weeks";2024-01-26
"Day 1 · Peito Ombro Triceps"
"1. Bench Press · Barbell";"3 sets";"12 reps"
"2. Incline Bench Press · Barbell";"3 sets";"12 reps"
"3. Seated Shoulder Press · Barbell";"3 sets";"12 reps"
"4. Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"5. Triceps Pushdowns · Cable";"3 sets";"12 reps"
"6. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
"7. Triceps Pushdowns with Rope · Cable";"3 sets";"12 reps"
"Day 2 · Costas Bíceps"
"1. Lat Pulldowns with Wide Overhand Grip · Cable";"3 sets";"12 reps"
"2. Rows with Wide Neutral Grip · Cable";"3 sets";"12 reps"
"3. One-Arm Rows · Dumbbells";"3 sets";"12 reps"
"4. Pullovers · Cable";"3 sets";"12 reps"
"5. Crunch Machine · Machine";"3 sets";"12 reps"
"6. Curls · EZ bar";"3 sets";"12 reps"
"7. Reverse Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"8. Seated Curls · Dumbbells";"3 sets";"12 reps"
"Day 3 · Perna"
"1. Leg Press · Machine";"3 sets";"12 reps"
"2. Calf Raises on Leg Press · Machine";"3 sets";"12 reps"
"3. Leg Curls on Leg Extension Machine · Machine";"3 sets";"12 reps"
"4. Leg Extensions · Machine";"3 sets";"10 reps"
"5. Hip Adduction · Machine";"3 sets";"12 reps"
"6. Hip Abduction · Machine";"3 sets";"12 reps"
"7. Romanian Deadlifts · Barbell";"3 sets";"10 reps"

"Padrão4 · 5 weeks";2024-01-09
"Day 1 · Peito Ombro Triceps"
"1. Bench Press · Barbell";"3 sets";"12 reps"
"2. Incline Bench Press · Barbell";"3 sets";"12 reps"
"3. Seated Shoulder Press · Barbell";"3 sets";"12 reps"
"4. Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"5. Triceps Pushdowns · Cable";"3 sets";"12 reps"
"6. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
"7. Triceps Pushdowns with Rope · Cable";"3 sets";"12 reps"
"Day 2 · Costas Bíceps"
"1. Chest-Supported Low Rows with Neutral Grip · Machine";"3 sets";"12 reps"
"2. Lat Pulldowns with Wide Overhand Grip · Cable";"3 sets";"12 reps"
"3. Rows with Wide Neutral Grip · Cable";"3 sets";"12 reps"
"4. Curls · EZ bar";"3 sets";"12 reps"
"5. Seated Curls · Dumbbells";"3 sets";"12 reps"
"6. Pullovers · Cable";"3 sets";"12 reps"
"7. Kneeling Crunches · Cable";"3 sets";"12 reps"
"8. Reverse Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"Day 3 · Perna"
"1. Leg Press · Machine";"3 sets";"12 reps"
"2. Calf Raises on Leg Press · Machine";"3 sets";"12 reps"
"3. Hip Adduction · Machine";"3 sets";"12 reps"
"4. Hip Abduction · Machine";"3 sets";"12 reps"
"5. Leg Curls on Leg Extension Machine · Machine";"3 sets";"12 reps"
"6. Squats · Barbell";"3 sets";"12 reps"

"Padrão3 · 5 weeks";2023-12-04
"Day 1 · Peito Ombro Triceps"
"1. Bench Press · Barbell";"3 sets";"12 reps"
"2. Incline Bench Press · Barbell";"3 sets";"12 reps"
"3. Seated Shoulder Press · Barbell";"3 sets";"12 reps"
"4. Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"5. Triceps Pushdowns · Cable";"3 sets";"12 reps"
"6. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
